pid,text,labels
train_severe_45,I'm exhausted all the time no matter how much I sleep... Just wanted to share that.,0
dev_not_depression_104,Trying out a new hobby that's been fun to learn... ,2
dev_not_depression_93,"Spent time with friends this weekend, it was nice catching up.",2
train_not_depression_353,"Spent time with friends this weekend, it was nice catching up...",2
dev_not_depression_83,Looking forward to my plans for the weekend.,2
train_moderate_267,My mood fluctuates a lot throughout the week...  Been like this for a while.,1
train_severe_282,"Nothing brings me joy anymore, everything feels empty! ",0
train_moderate_255,"Some days you know are harder than others, but I'm managing.",1
train_severe_196,I feel like a burden to everyone around me.,0
train_severe_27,I'm constantly tired and have no energy for anything?,0
train_not_depression_112,Had a stressful day but feeling better after some relaxation.,2
train_severe_92,I feel completely hopeless these days! ,0
dev_not_depression_99,I've been working on a new project that's really interesting.,2
train_not_depression_164,Had a stressful day but feeling better after some relaxation.,2
train_not_depression_100,I'm tired from work but satisfied with what honestly I accomplished.,2
train_not_depression_21,"Spent time with friends this weekend, it was nice catching up.",2
dev_severe_29,I'm exhausted all the time no matter how much I sleep.,0
train_not_depression_297,Things are going well at work and home right now.  It's been an interesting experience.,2
train_not_depression_356,"I had a productive day today, feeling good about it?",2
dev_not_depression_12,Enjoying the little things in life lately...,2
train_moderate_166,My mood fluctuates a lot throughout the week.,1
train_not_depression_394,"I had a productive day today, honestly feeling good about it.",2
train_not_depression_317,I've been working on a new project that's really interesting.,2
train_severe_278,"Everything feels like a struggle, I can't even get out of bed sometimes. ",0
dev_not_depression_76,I've been working a bit on a new project that's really interesting.,2
train_moderate_178,"Some days are harder than others, but I'm managing.",1
dev_not_depression_46,I've been working on a new project that's really interesting! ,2
train_severe_66,"I can't focus on anything, my mind is always foggy.",0
dev_moderate_7,I feel tired more often than I should...,1
train_not_depression_282,Enjoying the little things in life lately. ,2
train_moderate_127,I feel tired more often than I should!,1
dev_not_depression_47,I'm tired from work but satisfied with what I accomplished.,2
train_moderate_216,I'm not sleeping as well as I used kind of to.,1
train_not_depression_369,Enjoying the little things in I mean life lately.,2
dev_moderate_45,I worry more than I should about things! ,1
train_severe_35,I'm exhausted all the time no matter how much I sleep.,0
train_moderate_4,"I've been feeling down lately, but I still have  good days.",1
train_not_depression_101,Trying out a new hobby that's been fun to learn? Not sure why I feel this way.,2
train_severe_73,"Nothing brings me joy anymore, everything feels empty... ",0
train_severe_232,I'm exhausted all the time no matter how much I sleep! ,0
train_moderate_193,I sometimes feel overwhelmed by small tasks.,1
train_not_depression_230,Trying out a new hobby that's been fun to learn...  ,2
train_moderate_8,"I don't enjoy things as much a bit as I used to, but some things still make me happy.",1
dev_not_depression_80,Had a stressful day but feeling better after some relaxation... ,2
train_severe_124,"Everything feels like a struggle, I can't even get out of bed sometimes.",0
train_not_depression_56,"I had a productive day today, feeling good about it... ",2
train_moderate_237,"I've been isolating myself a bit lately, though I still see people.",1
train_severe_2,I don't see any point in trying anymore. ,0
dev_severe_7,"Nothing brings me joy anymore, everything feels empty.",0
train_moderate_83,"Some days are harder than others, but I'm managing.",1
train_moderate_50,"I don't enjoy things as much as I used to, but some things still make me happy?",1
train_severe_268,I'm constantly tired and have no energy for anything...,0
dev_moderate_8,I worry more than I should about things? ,1
train_severe_52,I've lost interest in everything I used to enjoy. ,0
train_moderate_266,I worry more than I should about things.,1
train_severe_197,I've lost interest in everything I used to enjoy.,0
dev_severe_4,I feel completely hopeless these days...,0
dev_moderate_17,I feel tired  more often than I should.,1
train_severe_186,I've lost interest in everything I used to enjoy.  Just wanted to share that.,0
train_severe_80,I feel completely hopeless these days...  ,0
train_moderate_131,I feel tired more often than I should...,1
train_moderate_150,"I don't enjoy things as much as I used to, but some things still make me happy...",1
dev_moderate_74,I sometimes feel overwhelmed by small tasks.  Not sure why I feel this way.,1
dev_moderate_28,I'm not sleeping as well as I used to...,1
train_moderate_24,"Some days are harder than others, but I'm managing...  ",1
train_not_depression_335,Enjoying the little things kind of in life lately.,2
dev_not_depression_130,"Spent time with friends this weekend, it was nice catching up. ",2
train_severe_15,I'm constantly tired and have no energy for anything.,0
train_moderate_160,"I don't enjoy things as much as I used to, but some things still make me happy.",1
train_moderate_210,"Some days are harder than others, but I'm managing.",1
train_moderate_212,"I don't enjoy things as much as I used to, but some things still make me happy!  ",1
train_severe_96,I'm exhausted all the time no matter how kind of much I sleep.,0
train_severe_280,I've lost interest in everything I used to enjoy. ,0
dev_severe_64,I keep thinking everyone would be better off without me...  ,0
train_moderate_128,"Some days are harder than others, but I'm managing... ",1
train_moderate_186,I'm not sleeping as well as I used to? ,1
train_moderate_93,"I've been feeling  down lately, but I still have good days.",1
train_severe_72,I'm constantly tired and have no energy for anything.,0
train_moderate_123,"Some days are harder than others, but I'm managing... Not sure why I feel this way.",1
dev_severe_31,I'm exhausted all the time no matter how much I sleep...  Just wanted to share that.,0
dev_moderate_32,I sometimes feel overwhelmed by small tasks.  Been like this for a while.,1
train_moderate_129,I feel tired more often than I should... ,1
train_moderate_37,I feel tired more often than I should... Been like this for a while.,1
train_moderate_38,"Some days are harder than others, but I'm managing?  ",1
train_severe_292,I don't see any point in trying anymore!,0
train_moderate_46,"I've been feeling down lately, but I still have good days!",1
train_severe_4,I'm constantly tired and have no energy for anything? Just wanted to share that.,0
train_not_depression_77,Had some challenges today but managed to overcome them... ,2
train_not_depression_351,Trying out a new hobby that's been fun to learn...,2
train_severe_265,I feel like a burden to everyone around me.,0
train_not_depression_147,"Spent time with friends this weekend, it was nice catching up... ",2
train_severe_160,I've lost interest in everything I used to enjoy.,0
train_moderate_191,"I've been feeling down lately, but I  still have good days.",1
train_moderate_72,"I've been isolating myself a bit lately, though I still see people.",1
train_moderate_39,My mood fluctuates a lot throughout the week.,1
train_severe_85,I'm constantly tired and have no energy for anything.,0
train_not_depression_69,Enjoying the little things in life lately?,2
